City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
228,America Dourada,BR,-11.4553,-41.4361,69.78,71,42,4.7,scattered clouds,2022-06-13 00:51:09
229,Olafsvik,IS,64.8945,-23.7142,47.12,86,100,13.35,light rain,2022-06-13 00:51:09
230,Caravelas,BR,-17.7125,-39.2481,72.57,89,98,4.65,overcast clouds,2022-06-13 00:51:09
231,Lavrentiya,RU,65.5833,-171.0,39.96,64,100,3.8,overcast clouds,2022-06-13 00:51:10
232,College,US,64.8569,-147.8028,69.1,43,100,3.44,smoke,2022-06-13 00:46:45
233,Camacha,PT,33.0833,-16.3333,63.82,72,40,5.75,scattered clouds,2022-06-13 00:51:10
234,Nanortalik,GL,60.1432,-45.2371,36.45,93,85,10.6,overcast clouds,2022-06-13 00:51:10
235,Koppal,IN,15.35,76.15,75.09,76,99,13.22,overcast clouds,2022-06-13 00:51:11
236,Pevek,RU,69.7008,170.3133,39.27,61,89,11.18,overcast clouds,2022-06-13 00:51:11
237,Mbini,GQ,1.574,9.6134,76.05,88,100,4.59,overcast clouds,2022-06-13 00:51:11
238,Souillac,MU,-20.5167,57.5167,71.98,88,75,14.97,light rain,2022-06-13 00:51:11
239,Anadyr,RU,64.75,177.4833,59.5,41,0,4.47,clear sky,2022-06-13 00:51:12
240,Tombouctou,ML,20.0,-3.0,86.81,29,77,8.59,broken clouds,2022-06-13 00:51:12
241,Neryungri,RU,56.6709,124.6491,49.51,92,100,3.09,moderate rain,2022-06-13 00:51:12
242,Christchurch,NZ,-43.5333,172.6333,47.41,77,75,14.97,broken clouds,2022-06-13 00:50:04
243,Marzuq,YE,14.4,46.4667,79.27,19,100,3.76,overcast clouds,2022-06-13 00:51:13
244,Bundaberg,AU,-24.85,152.35,61.7,52,2,6.93,clear sky,2022-06-13 00:51:13
245,Rawlins,US,41.7911,-107.2387,89.49,9,0,32.21,clear sky,2022-06-13 00:51:13
246,Beitbridge,ZW,-22.2167,30.0,56.23,54,0,2.51,clear sky,2022-06-13 00:51:14
247,San Rafael,AR,-34.6177,-68.3301,52.39,38,98,8.19,overcast clouds,2022-06-13 00:51:14
248,Namatanai,PG,-3.6667,152.4333,83.37,69,31,8.03,moderate rain,2022-06-13 00:51:14
249,Basco,PH,20.4487,121.9702,85.03,79,56,15.61,broken clouds,2022-06-13 00:51:15
250,Kruisfontein,ZA,-34.0033,24.7314,63.14,46,100,2.21,overcast clouds,2022-06-13 00:51:15
251,Wangkui,CN,46.8333,126.5,62.22,91,100,12.66,overcast clouds,2022-06-13 00:51:15
252,Arkadelphia,US,34.1209,-93.0538,92.37,73,20,6.91,few clouds,2022-06-13 00:46:46
253,Rudbar,AF,30.15,62.6,82.98,28,0,2.73,clear sky,2022-06-13 00:51:15
